issue,buoy,n_hours,mae_kn,bias_kn,obs_fav_hours,obs_fav_mean_kn,fcst_fav_mean_kn,d_fav_kn,airport_offset_kn,airport_offset_fav_kn,retrieved_utc
2026-08-09,45027,362,2.48,-0.79,234,7.67,6.66,-1.01,-0.33,-0.88,2026-08-09T17:21:28Z
2026-08-09,45023,174,2.64,-1.49,63,9.97,8.14,-1.82,-2.68,-3.86,2026-08-09T17:21:28Z
2026-08-09,45027,362,2.48,-0.79,234,7.67,6.66,-1.01,-0.33,-0.88,2026-08-09T17:48:20Z
2026-08-09,45023,174,2.64,-1.49,63,9.97,8.14,-1.82,-2.68,-3.86,2026-08-09T17:48:20Z
2026-08-09,45027,362,2.48,-0.79,234,7.67,6.66,-1.01,-0.33,-0.88,2026-08-09T18:02:45Z
2026-08-09,45023,176,2.62,-1.46,63,9.97,8.14,-1.82,-2.64,-3.86,2026-08-09T18:02:45Z
2026-08-09,45027,362,2.48,-0.79,234,7.67,6.66,-1.01,-0.33,-0.88,2026-08-09T18:16:43Z
2026-08-09,45023,176,2.62,-1.46,63,9.97,8.14,-1.82,-2.64,-3.86,2026-08-09T18:16:43Z
2026-08-10,45027,271,2.4,-1.09,138,8.44,6.38,-2.06,-0.17,-1.31,2026-08-10T01:44:37Z
2026-08-10,45023,121,2.5,-1.51,52,10.09,7.99,-2.1,-2.62,-3.94,2026-08-10T01:44:37Z
2026-08-10,45027,271,2.4,-1.09,138,8.44,6.38,-2.06,-0.17,-1.31,2026-08-10T02:02:29Z
2026-08-10,45023,121,2.5,-1.51,52,10.09,7.99,-2.1,-2.62,-3.94,2026-08-10T02:02:29Z
2026-08-10,45027,318,2.19,-0.89,150,7.96,6.07,-1.89,-0.01,-1.15,2026-08-10T14:08:08Z
2026-08-10,45023,153,2.3,-1.43,53,9.94,7.92,-2.02,-2.32,-3.83,2026-08-10T14:08:08Z
2026-08-10,45027,345,2.16,-0.84,157,7.7,5.95,-1.76,0.01,-1.05,2026-08-10T15:57:54Z
2026-08-10,45023,156,2.38,-1.53,55,9.93,7.77,-2.16,-2.36,-3.93,2026-08-10T15:57:54Z
2026-08-10,45027,345,2.18,-0.86,157,7.7,5.95,-1.76,0.01,-1.05,2026-08-10T16:11:29Z
2026-08-10,45023,158,2.41,-1.57,57,9.96,7.73,-2.23,-2.42,-4.03,2026-08-10T16:11:29Z
